100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.5,1,1,1,0,0,1,1,1,0,1,0,0.5,0,1,1,0,0.5,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1
0,0,0,0,0,0,0,0,1,1,1,1,0.71429,1,1,1,1,1,0.72727,0.75,1,0.875,1,1,1,1,0.4,0.4,1,0.71429,1,1,1,1,1,1,1,0.8,0.8,1,1,1,1,1,1,1,0.875,0.75,0.71429,0.33333
0,0,0,0,0,0,0,0.33333,0,1,1,1,1,0.5,0.75,1,1,1,1,0.4,0.4,0.6,0.25,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0,0.66667,0,0.75
0,0,0,0,0,0,0.5,0,0.5,0,0.75,1,0,0.6,0.5,0.66667,0.66667,1,0.57143,1,0.8,0.71429,0.5,0.6,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.66667,0.71429,0.5,0
0,0,0,0,0,0,0,0,0,0.2,0,0.6,0.16667,0.2,0.4,1,0.66667,0,1,0.8,0.2,1,1,1,1,1,0.71429,0.6,0,1,1,1,1,1,1,1,1,1,0.83333,1,1,1,1,1,1,1,0.625,1,0.66667,0.25
0,0,0,0,0,0,0,0,0.33333,0.66667,0.25,0,0.5,0.5,0.25,0.75,0.5,1,0.66667,0,0.8,0.83333,0.66667,0.5,1,1,0.6,1,1,0.83333,1,0.33333,1,1,1,1,1,0.66667,0.42857,1,1,1,1,1,1,1,1,0.4,0,0
0,0,0,0,0,0,0,0,0,0,0.28571,0.33333,0.16667,0.4,0.25,0.42857,0.5,1,1,1,0,0.4,0.2,0.6,1,1,0,0,0.25,1,0.4,0.25,0.2,0.5,1,1,0.8,1,0.4,0.375,1,1,1,1,1,0.66667,0.6,0.33333,0.33333,0.25
0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.75,0.75,1,1,1,0.71429,0.75,0.33333,0,1,0.4,0.75,0.5,0.6,0,0,0,0.2,0,1,0.66667,0,0.33333,0.66667,0,0.75,1,1,1,0.83333,0,0,0.25,0.33333,0
